# BAR0 Diff: before/after L2 table ops
# Changed: 480 registers

Offset     Before       After        XOR         
0x24e40    0xb14002c6   0xb10002c6   0x00400000
0x24e44    0xb10002c7   0xb10002c6   0x00000001
0x257c0    0x00000001   0x00000000   0x00000001
0x257c4    0x00000001   0x00000000   0x00000001
0x25fc0    0x00000001   0x00000000   0x00000001
0x25fc4    0x00000001   0x00000000   0x00000001
0x267c0    0x00000001   0x00000000   0x00000001
0x267c4    0x00000001   0x00000000   0x00000001
0x26fc0    0x00000001   0x00000000   0x00000001
0x26fc4    0x00000001   0x00000000   0x00000001
0x28000    0x20500600   0x38500000   0x18000600
0x28004    0x00000000   0x40a0060c   0x40a0060c
0x28010    0x04007f40   0x00000001   0x04007f41
0x28014    0x00000000   0x00000060   0x00000060
0x28028    0x13003fa0   0xffffffff   0xecffc05f
0x2802c    0x00010000   0xffffffff   0xfffeffff
0x28090    0xb18002c8   0xb14002c7   0x00c0000f
0x28094    0xb28002ce   0xb28002cd   0x00000003
0x28114    0x045e1058   0x045e10d8   0x00000080
0x28410    0x00000003   0x00000000   0x00000003
0x28800    0x20500600   0x38500000   0x18000600
0x28804    0x00000000   0x40a0060c   0x40a0060c
0x28810    0x04007f40   0x00000001   0x04007f41
0x28814    0x00000000   0x00000060   0x00000060
0x28828    0x13003fa0   0xffffffff   0xecffc05f
0x2882c    0x00010000   0xffffffff   0xfffeffff
0x2895c    0xb14002c8   0xb14002c7   0x0000000f
0x28964    0xb24002cc   0xb20002ca   0x00400006
0x28968    0xb10002c6   0xb0c002c6   0x01c00000
0x28d64    0x0404a7f8   0x0404a810   0x00000fe8
0x28d68    0x0404a7f8   0x0404a810   0x00000fe8
0x28e40    0xb14002c6   0xb10002c6   0x00400000
0x28e44    0xb10002c6   0xb10002c5   0x00000003
0x297c0    0x00000001   0x00000000   0x00000001
0x297c4    0x00000001   0x00000000   0x00000001
0x29fc0    0x00000001   0x00000000   0x00000001
0x29fc4    0x00000001   0x00000000   0x00000001
0x2a7c0    0x00000001   0x00000000   0x00000001
0x2a7c4    0x00000001   0x00000000   0x00000001
0x2afc4    0x00000001   0x00000000   0x00000001
0x2c000    0x20500600   0x38500000   0x18000600
0x2c004    0x00000000   0x40a0060c   0x40a0060c
0x2c010    0x04007f40   0x00000001   0x04007f41
0x2c014    0x00000000   0x00000060   0x00000060
0x2c028    0x13003fa0   0xffffffff   0xecffc05f
0x2c02c    0x00010000   0xffffffff   0xfffeffff
0x2c090    0xb18002c8   0xb14002c8   0x00c00000
0x2c094    0xb28002ce   0xb28002cd   0x00000003
0x2c114    0x045e1058   0x045e10d8   0x00000080
0x2c410    0x00000003   0x00000000   0x00000003
0x2c800    0x20500600   0x38500000   0x18000600
0x2c804    0x00000000   0x40a0060c   0x40a0060c
0x2c810    0x04007f40   0x00000001   0x04007f41
0x2c814    0x00000000   0x00000060   0x00000060
0x2c828    0x13003fa0   0xffffffff   0xecffc05f
0x2c82c    0x00010000   0xffffffff   0xfffeffff
0x2c95c    0xb14002c8   0xb14002c6   0x0000000e
0x2c964    0xb24002cb   0xb20002ca   0x00400001
