register,block,description,fields,scope_count,sample_value,ported_by_us,importance_guess,address
L3_ECMP_GROUP_PARITY_CONTROL,IPIPE,"L3_ECMP_GROUP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IPMC table.,1,0x00000001,no,low (parity init),0x0e180d0f
L3_ECMP_PARITY_CONTROL,IPIPE,"L3_ECMP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IPMC table.,1,0x00000001,no,low (parity init),0x0e180d12
L3_ENTRY_PARITY_CONTROL,IPIPE,"L3_ENTRY_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_ENTRY table.,1,0x00000001,no,low (parity init),0x09180d07
L3_IIF_PARITY_CONTROL,IPIPE,"L3_IIF_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IIF table.,1,0x00000001,no,low (parity init),0x05180d0f
L3_IPMC_1_PARITY_CONTROL,IPIPE,"L3_IPMC_1_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IPMC_1 table.,1,0x00000001,no,low (parity init),0x0b180d1d
L3_IPMC_PARITY_CONTROL,IPIPE,"L3_IPMC_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IPMC table.,1,0x00000001,no,low (parity init),0x0e180d09
L3_IPMC_REMAP_PARITY_CONTROL,IPIPE,"L3_IPMC_REMAP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_IPMC table.,1,0x00000001,no,low (parity init),0x0e180d0c
L3_MTU_VALUES_PARITY_CONTROL,IPIPE,"Parity Controls for L3_MTU_VALUES, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L3_MTU_VALUES table.,1,0x00000001,no,low (parity init),0x0f180d06
L3_TUNNEL_PARITY_CONTROL,IPIPE,L3_TUNNEL_PARITY_CONTROL,PARITY_EN        This bit enables parity checking for the L3_TUNNEL table.,1,0x00000001,no,low (parity init),0x02180d15
LAG_FAILOVER_CONFIG,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,XLPORT LAG Failover Loopback Config,"LINK_STATUS_UP   Software controlled Link up Status.; LAG_FAILOVER_EN  Enable LAG Failover Loopback.; REMOVE_FAILOVER_LPBK Remove port from Loopback.; MMUBKP_LOOPBACK_EN Enable loopback of mmu_bkp messages in xport-mode. In gport-mode, the lagfail logic enforces xon/xoff.",52,0x00000008,no,unknown,0x00500224
LOCAL_SW_DISABLE_DEFAULT_PBM_MIRR_PARITY_CONTROL,IPIPE,"Parity Control for LOCAL_SW_DISABLE_DEFAULT_PBM_MIRR table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the LOCAL_SW_DISABLE_DEFAULT_PBM_MIRR table.,1,0x00000001,no,low (parity init),0x0f180d55
LOCAL_SW_DISABLE_DEFAULT_PBM_PARITY_CONTROL,IPIPE,"Parity Control for LOCAL_SW_DISABLE_DEFAULT_PBM table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the LOCAL_SW_DISABLE_DEFAULT_PBM table.,1,0x00000001,no,low (parity init),0x0f180d52
LPORT_ECC_CONTROL,IPIPE,LPORT_ECC_CONTROL,ECC_EN           This bit enables ecc checking for the LPORT table.,1,0x00000001,no,low (parity init),0x02180d1b
MAC_0,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,MAC Address 32-Bit Word 0. Core MAC address bit 47 to 16.,"MAC_ADDR0        Register Bit 0 refers to Bit 16 of the MAC address, Bit 1 refers to bit 17 of the MAC address etc.",52,0x80a23581,no,unknown,0x00500503
MAC_1,IPIPE,MAC Block Mask Table.,"MAC_ADDR1        Register Bit 0 refers to Bit 0 of the MAC address, Bit 1 refers to bit 1 of the MAC address etc.Bits 16 to 31 are reserved.; MAC_BLOCK_MASK   MAC block mask.; MAC_BLOCK_MASK_W0 Overlay for bits [31:0].; MAC_BLOCK_MASK_W1 Overlay for bits [31:0].; MAC_BLOCK_MASK_W2 Overlay for bits [31:0].; EVEN_PARITY      Even parity.",52,0x0000caaf,no,unknown,0x00500504
MAC_BLOCK_TABLE_PARITY_CONTROL,IPIPE,"Parity Control for MAC_BLOCK_TABLE table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the MAC_BLOCK_TABLE table.,1,0x00000001,no,low (parity init),0x0f180d3a
MAC_MODE,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,"MAC Mode. MAC Speed and Duplex Mode configuration from register COMMAND_CONFIG, when ENA_EXT_CONFIG is set to '0' or from signals set_speed(1:0), set_duplex, tx_pause_en, rx_pause_en and sync_reset.","MAC_SPEED        MAC Speed. 00: 10Mbps Ethernet Mode enabled01: 100Mbps Ethernet Mode enabled10: Gigabit Ethernet Mode enabled11: 2.5Gigabit Ethernet Mode enabled; MAC_DUPLEX       MAC Duplex. 0: Full Duplex Mode enabled1: Half Duplex Mode enabled; MAC_RX_PAUSE     MAC Pause Enabled in Receive. 0: MAC Pause Disabled in Receive1: MAC Pause Enabled in Receive; MAC_TX_PAUSE     MAC Pause Enabled in Transmit.                0: MAC Pause Disabled in Transmit1: MAC Pause Enabled in Transmit; LINK_STATUS      Link Status Indication. Set to '0', when link_status input is low.Set to '1', when link_status input is High.",52,0x00000022,no,unknown,0x00500511
MAC_PFC_REFRESH_CTRL,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,PPP refresh control register,"PFC_REFRESH_EN   Enables the PPP refresh functionality on the Tx side. When enabled, the MAC sends xoff on refresh counter becoming 0; PFC_REFRESH_TIMER PPP refresh counter value.",52,0xc0000001,no,unknown,0x005005d1
MAC_RSV_MASK,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,MAC RSV MASK Register,"MASK             Control which RSV event cause ""purge"" event that triggers RXERR to be set for the packet by the MAC.Valid for either XMAC or UniMAC.  Drives r_gport_rsv_mask[17:0] for UniMAC and rsv_err_mask[19:0] for XMAC.These bits are used to mask RSV[35:16] for XMAC.These bits are used to mask RSV[33:16] for UniMAC.Note certain bits are different between UniMAC and XMAC.  Below is one snapshot of how MASK bits are mapped to each MAC.  Please refer to XMAC/UniMAC specs for latest RSV bit definitions.bit[19] masks RSV[35] ==> Only XMAC  : SCH CRC Error detectedbit[18] masks RSV[34] ==> Only XMAC  : PFC frame detectedbit[17] masks RSV[33] --> Both MAC's : RUNT detectedbit[16] masks RSV[32] ==>  XMAC : RX FIFO full;     UniMAC : Frame trucatedbit[15] masks RSV[31] --> Both MAC's : Unicast detectedbit[14] masks RSV[30] --> Both MAC's : VLAN tag detectedbit[13] masks RSV[29] --> Both MAC's : Unsupported opcode detectedbit[12] masks RSV[28] --> Both MAC's : Pause frame receivedbit[11] masks RSV[27] --> Both MAC's : Control frame receivedbit[10] masks RSV[26] ==> XMAC : Promiscuous packet detected; UniMAC : Dribble Nibble detected in FE modebit[ 9] masks RSV[25] --> Both MAC's : Broadcast detectedbit[ 8] masks RSV[24] --> Both MAC's : Multicast detectedbit[ 7] masks RSV[23] --> Both MAC's : Receive OKbit[ 6] masks RSV[22] --> Both MAC's : Truncated/Frame out of Rangebit[ 5] masks RSV[21] --> Both MAC's : Frame length not out of range, but incorrect -- IEEE length check failedbit[ 4] masks RSV[20] --> Both MAC's : CRC errorbit[ 3] masks RSV[19] --> Both MAC's : Receive terminate/code errorbit[ 2] masks RSV[18] ==> XMAC : Unsupported DA for pause/PFC packets detected; UniMAC : Carrier Eventbit[ 1] masks RSV[17] --> Both MAC's : Stack VLAN detectedbit[ 0] masks RSV[16] ==> XMAC : WRong SA; UniMAC : Packet Skipped event",52,0x00000018,yes,medium (diag/counter),0x00500221
MAXBUCKETCONFIG_64,MMU,"normal port, 10uc comes first then 5 mc;   or those special ports,  it is 64 extended queue first, then 10 uc then 5 mc;   for loopback port, it is only 5","MAX_THD          Threshold determines the size of Minimum Bucket. This Threshold setting is not related to actual bandwidth rate number.When ITU mode is not enabled,The Bucket size is determined by the formula,BucketSize = MIN_THD_SEL * Bucket_Size_Granularity Min Bucket function is disabled when bucket size is 0.When ITU mode is enabled,Threshold is divided into two fields.W1 = MIN_THD_SEL[11:8]W2 = MIN_THD_SEL[7:0]The Bucket size is determined by the formula,BucketSize = 2^(W1) * (1 + W2/256) * Bucket_Size_GranularityThe stepsize varies as a function of the specific bucket sizerange. For example when METER_GRAN = 3, the next bucket size up from 4096 bytesis 4112 bytes (stepsize of 16 bytes). In constrast, the next bucket size up from 1024*1024 bytes is 1028*1024 (step size of 4096 bytes). This provides for an accuracyof a bucket size of at least 0.39%. Min Bucket function is disabled when bucket size is 0.NOTE: there is a minimum value for THD based on refresh time: 7.8125 us and requested BW:For 10 Gb/s, minimum thd = 10Gb/s * 7812.5ns / 8bit/byte = app 10kbyte.; METER_GRAN       In bandwidth-shaping mode,meter_gran   Bucket_Count granularity   Bucket_Size granularity        0          1/256 of a byte              256 bytes        1          1/128 of a byte                512 bytes        2          1/64 of a byte                1K bytes        3          1/32 of a byte                2K bytes        4          1/16 of a byte                 4K bytes        5          1/8 of a byte                8k bytes        6          1/4 of a byte                16k bytes        7          1/2 byte                       32k bytes    Refr Rate    BC[0] BC BYTE  BC MAX BS Gran   BS MAX 0    8000bps 1/256Byte BC[7]   1Mbyte 256byte   1Mbyte 1   16000bps 1/128Byte BC[6]   2Mbyte 512byte   2Mbyte 2   32000bps  1/64Byte BC[5]   4Mbyte  1Kbyte   4Mbyte 3   64000bps  1/32Byte BC[4]   8Mbyte  2Kbyte   8Mbyte 4  128000bps  1/16Byte BC[3]  16Mbyte  4Kbyte  16Mbyte 5  256000bps   1/8Byte BC[2]  32Mbyte  8Kbyte  32Mbyte 6  512000bps   1/4Byte BC[1]  64Mbyte 16Kbyte  64Mbyte 7 1024000bps   1/2Byte BC[0] 128Mbyte 32Kbyte 128MbyteIn packet-shaping mode,meter_gran    Bucket_Count granularity   Bucket_Size granularity        0       1/256000 of a packet           0.256 packet        1       1/128000 of a packet           0.512 packet        2       1/64000 of a packet            1.024 packet        3       1/32000 of a packet            2.048 packet        4       1/16000 of a packet            4.096 packet        5       1/4000 of a packet            16.384 packet        6       1/1000 of a packet            65.536 packet        7       1/250 of a packet            262.144 packet; MAX_REFRESH      Refresh count for Maximum Bucket (also depends on METER_GRAN).Every unit of REFRESH represents 64,000 bps, (bits per second).Example 1:  To set metering rate to 500 Mbps (500,000,000 bps),             should set REFRESH = 7812, Example 2:  To set metering rate to 1 Gbps (1,000,000,000 bps),             should set REFRESH = 15624.In packet mode, every unit of REFRESH represents 1/16000 packet (when METER_GRAN = 3).; PARITY           Parity for max bucket config fields",2,0x0000000000008004,no,medium (MMU),0x0a300200
MCQ_CONFIG,MMU,MCQ_CONFIG,"MODE_2; MODE_4           There are a total of 65 FIFOs in MCQ. They are divided into 16 groups, each group has 4 FIFOs. The 65th FIFO is dedicated for loop-back port (port 33). Each group can be configured in MODE_4 (combine 4 FIFOs into one group), MODE_2 (combine every 2 FIFOs in one group), or default mode (one FIFO per port, MODE_4 and MODE_2 both 0).Note that MODE_4 and MODE_2 cannot both be set to 1 in each group.The following table defines each port's mapping:Note: if a group is configured as MODE_4, only port 0 of the group is active, the rest should not have packet traffic.Note: if a group is configured as MODE_2, only port 0, 2 of the group are active, the rest should not have packet traffic.  port number = 1 : group number = 0, subport number = 0  port number = 2 : group number = 1, subport number = 0  port number = 3 : group number = 2, subport number = 0  port number = 4 : group number = 3, subport number = 0  port number = 5 : group number = 0, subport number = 1  port number = 6 : group number = 1, subport number = 1  port number = 7 : group number = 2, subport number = 1  port number = 8 : group number = 3, subport number = 1  port number = 9 : group number = 0, subport number = 2  port number = 10 : group number = 1, subport number = 2  port number = 11 : group number = 2, subport number = 2  port number = 12 : group number = 3, subport number = 2  port number = 13 : group number = 0, subport number = 3  port number = 14 : group number = 1, subport number = 3  port number = 15 : group number = 2, subport number = 3  port number = 16 : group number = 3, subport number = 3  port number = 17 : group number = 4, subport number = 0  port number = 18 : group number = 5, subport number = 0  port number = 19 : group number = 6, subport number = 0  port number = 20 : group number = 7, subport number = 0  port number = 21 : group number = 4, subport number = 1  port number = 22 : group number = 5, subport number = 1  port number = 23 : group number = 6, subport number = 1  port number = 24 : group number = 7, subport number = 1  port number = 25 : group number = 4, subport number = 2  port number = 26 : group number = 5, subport number = 2  port number = 27 : group number = 6, subport number = 2  port number = 28 : group number = 7, subport number = 2  port number = 29 : group number = 4, subport number = 3  port number = 30 : group number = 5, subport number = 3  port number = 31 : group number = 6, subport number = 3  port number = 32 : group number = 7, subport number = 3  port number = 33 : group number = 16, subport number = 0  port number = 34 : group number = 8, subport number = 0  port number = 35 : group number = 9, subport number = 0  port number = 36 : group number = 10, subport number = 0  port number = 37 : group number = 11, subport number = 0  port number = 38 : group number = 8, subport number = 1  port number = 39 : group number = 9, subport number = 1  port number = 40 : group number = 10, subport number = 1  port number = 41 : group number = 11, subport number = 1  port number = 42 : group number = 8, subport number = 2  port number = 43 : group number = 9, subport number = 2  port number = 44 : group number = 10, subport number = 2  port number = 45 : group number = 11, subport number = 2  port number = 46 : group number = 8, subport number = 3  port number = 47 : group number = 9, subport number = 3  port number = 48 : group number = 10, subport number = 3  port number = 49 : group number = 11, subport number = 3  port number = 50 : group number = 12, subport number = 0  port number = 51 : group number = 13, subport number = 0  port number = 52 : group number = 14, subport number = 0  port number = 53 : group number = 15, subport number = 0  port number = 54 : group number = 12, subport number = 1  port number = 55 : group number = 13, subport number = 1  port number = 56 : group number = 14, subport number = 1  port number = 57 : group number = 15, subport number = 1  port number = 58 : group number = 12, subport number = 2  port number = 59 : group number = 13, subport number = 2  port number = 60 : group number = 14, subport number = 2  port number = 61 : group number = 15, subport number = 2  port number = 62 : group number = 12, subport number = 3  port number = 63 : group number = 13, subport number = 3  port number = 64 : group number = 14, subport number = 3  port number = 65 : group number = 15, subport number = 3",1,0x0f000000,no,medium (MMU),0x1b380000
MCQ_FIFO_BASE_REG,MMU,MCQ_FIFO_BASE_REG,"Q_MCQ_FIFO_BASE  Per Queue FIFO Base address : defines the base address of the queues in the FIFO. CPU must program it. The real FIFO address is the value of this register times 16. (That is, this field represents the MSB bits of the address. The lower 4 bits of the addresses are always zero.)Each base address can be in any of the 4K region, however, in 10G mode, only 1K Fifo are allocated. Therefore, the upper 2 bits must be zero; in 20G mode, 2K Fifo are allocated so the upper 1 bit must be zero;Programming Note: The difference of the base address and the next Queue's base address defines the size of the queue. The maximum size of each Queue is (1K-16). In 20G mode, it's 2K-16; in 40G mode, it's 4K-16.The OVQ_MCQ_CREDITS per queue register in OVQ block must be programmed to be less or equal to the size of the FIFO.i.e. COS0_MCQ_FIFO_BASE_REG + COS0_OVQ_MCQ_CREDITS <= COS1_MCQ_FIFO_BASE_REG     COS1_MCQ_FIFO_BASE_REG + COS1_OVQ_MCQ_CREDITS <= COS2_MCQ_FIFO_BASE_REG     , etc.",212,0x000000c0,no,medium (MMU),0x1b300100
MC_CONTROL_1,IPIPE,Multicast Control Register1 for HiGig2 pkts.,HIGIG2_BC_BASE_OFFSET Base offset for Broadcast packets.; HIGIG2_BC_SIZE   Number of Broadcast groups (i.e. VLANS) in MC space.,1,0x10000000,no,unknown,0x01180610
MC_CONTROL_2,IPIPE,Multicast Control Register2 for HiGig2 pkts.,HIGIG2_L2MC_BASE_OFFSET Base offset in MC space for L2 Multicast packets.; HIGIG2_L2MC_SIZE Number of L2 Multicast groups in MC space.,1,0x10001000,no,unknown,0x02180681
MC_CONTROL_3,IPIPE,Multicast Control Register3 for HiGig2 pkts.,HIGIG2_IPMC_BASE_OFFSET Base offset in MC space for IP Multicast packets.; HIGIG2_IPMC_SIZE Number of IP Multicast groups in MC space.,1,0x10002000,no,unknown,0x02180682
MC_CONTROL_5,IPIPE,Multicast Control Register5.,SHARED_TABLE_L2MC_SIZE Size of the L2MC region in the shared L2MC table.; SHARED_TABLE_IPMC_SIZE Size of the IPMC region in the shared L2MC table.,1,0x02001000,no,unknown,0x0c180609
MEM_FAIL_INT_EN,MMU,Memory Fail Interrupt Enable,AGING_CTR_PAR_ERR_EN AGING CTR parity error enable; AGING_EXP_PAR_ERR_EN AGING EXP parity error enable; CCP_PAR_ERR_EN   CCP parity error enable; CFAP_PAR_ERR_EN  CFAP parity error enable; CFAP_MEM_FAIL_EN CFAP memory fail error enable; DEQ_MPB_ERR_EN   DEQ MPB error enable; DEQ_PKTHDR_ERR_EN DEQ packet header  error enable; DEQ_NOT_IP_ERR_EN DEQ not IP error enable; CTR_UC_CNT_EN    CTR UC CNT  error enable; START_BY_START_ERR_EN start by start error enable; CTR_MC_CNT_EN    CTR MC CNT table parity error enable; CTR_COLOR_CNT_ERR_EN CTR COLOR Drop CNT parity error enable; TOQ0_UCQ_RP_PAR_ERR_EN TOQ0 UC Q RP  parity error enable; TOQ0_UCQ_WP_PAR_ERR_EN TOQ0 UC Q WP  parity error enable; TOQ0_PKTLINK_PAR_ERR_EN TOQ0 packet link parity error enable; TOQ0_CELLLINK_PAR_ERR_EN TOQ0 cell link parity error enable; TOQ0_CPQLINK_PAR_ERR_EN TOQ CPQ  link parity error enable; TOQ0_IPMC_MC_FIFO_PAR_ERR_EN TOQ0 IPMC MC FIFO  parity error enable; TOQ0_IPMC_TBL_PAR_ERR_EN TOQ0 IPMC table parity error enable; TOQ0_VLAN_TBL_PAR_ERR_EN TOQ0 VLAN table parity error enable; MTRO_PAR_ERR_EN  MTRO parity error enable; WRED_PAR_ERR_EN  WRED parity error enable; OVQ_PAR_ERR_EN   OVQ parity error enable; PQE_PAR_ERR_EN   Purge queue parity error enable; QCN_PAR_ERR_EN   QCN parity error enable; THDO_PAR_ERR_EN  THDO parity error enable; THDI_PAR_ERR_EN  THDI parity error enable; ES_PAR_ERR_EN    ES parity error enable,1,0x0fffffff,no,medium (MMU),0x0c380001
MINBUCKET,MMU,"normal port, 10uc comes first then 5 mc;   or those special ports,  it is 64 extended queue first, then 10 uc then 5 mc;   for loopback port, it is only 5","MIN_BUCKET       Minimum rate bucket.When do register read/write test to this register, please DO reset     MISCCONFIG.REFRESH_EN = 0     MISCCONFIG.PARITY_GEN_EN = 0     MISCCONFIG.PARITY_CHK_EN = 0This is to prevent data being overwrite by internal refreshprocess.; IN_PROFILE_FLAG  SW overlay for backward compatible field name; OUT_PROFILE_FLAG OUT_PROFILE_FLAG inidcates the current state of minimum rate bucket1: out of profile0: In profileDefault value is out of profile.; PARITY           Parity for min bucket and flag fields",2,0x40040000,no,medium (MMU),0x0a300100
MINBUCKETCONFIG_64,MMU,"normal port, 10uc comes first then 5 mc;   or those special ports,  it is 64 extended queue first, then 10 uc then 5 mc;   for loopback port, it is only 5","MIN_THD          Threshold determines the size of Minimum Bucket. This Threshold setting is not related to actual bandwidth rate number.When ITU mode is not enabled,The Bucket size is determined by the formula,BucketSize = MIN_THD_SEL * Bucket_Size_GranularityMin Bucket function is disabled when bucket size is 0.When ITU mode is enabled,Threshold is divided into two fields.W1 = MIN_THD_SEL[11:8]W2 = MIN_THD_SEL[7:0]The Bucket size is determined by the formula,BucketSize = 2^(W1) * (1 + W2/256) * Bucket_Size_GranularityThe stepsize varies as a function of the specific bucket sizerange. For example when METER_GRAN = 3, the next bucket size up from 4096 bytesis 4112 bytes (stepsize of 16 bytes). In constrast, the next bucket size up from 1024*1024 bytes is 1028*1024 (step size of 4096 bytes). This provides for an accuracyof a bucket size of at least 0.39%. Min Bucket function is disabled when bucket size is 0.NOTE: there is a minimum value for THD based on refresh time: 7.8125 us and requested BW:For 10 Gb/s, minimum thd = 10Gb/s * 7812.5ns / 8bit/byte = app 10kbyte.; METER_GRAN       In bandwidth-shaping mode,meter_gran   Bucket_Count granularity   Bucket_Size granularity        0          1/256 of a byte              256 bytes        1          1/128 of a byte                512 bytes        2          1/64 of a byte                1K bytes        3          1/32 of a byte                2K bytes        4          1/16 of a byte                 4K bytes        5          1/8 of a byte                8k bytes        6          1/4 of a byte                16k bytes        7          1/2 byte                       32k bytes    Refr Rate    BC[0] BC BYTE  BC MAX BS Gran   BS MAX 0    8000bps 1/256Byte BC[7]   1Mbyte 256byte   1Mbyte 1   16000bps 1/128Byte BC[6]   2Mbyte 512byte   2Mbyte 2   32000bps  1/64Byte BC[5]   4Mbyte  1Kbyte   4Mbyte 3   64000bps  1/32Byte BC[4]   8Mbyte  2Kbyte   8Mbyte 4  128000bps  1/16Byte BC[3]  16Mbyte  4Kbyte  16Mbyte 5  256000bps   1/8Byte BC[2]  32Mbyte  8Kbyte  32Mbyte 6  512000bps   1/4Byte BC[1]  64Mbyte 16Kbyte  64Mbyte 7 1024000bps   1/2Byte BC[0] 128Mbyte 32Kbyte 128MbyteIn packet-shaping mode,meter_gran    Bucket_Count granularity   Bucket_Size granularity        0       1/256000 of a packet           0.256 packet        1       1/128000 of a packet           0.512 packet        2       1/64000 of a packet            1.024 packet        3       1/32000 of a packet            2.048 packet        4       1/16000 of a packet            4.096 packet        5       1/4000 of a packet            16.384 packet        6       1/1000 of a packet            65.536 packet        7       1/250 of a packet            262.144 packet; MIN_REFRESH      Refresh count for minimum rate bucket (also depends on METER_GRAN).Every unit of REFRESH represents 64,000 bps, (bits per second).Example 1:  To set metering rate to 500 Mbps (500,000,000 bps),             should set REFRESH = 7812,Example 2:  To set metering rate to 1 Gbps (1,000,000,000 bps),             should set REFRESH = 15624.In packet mode, every unit of REFRESH represents 1/16000 packet (when METER_GRAN = 3).; PARITY           Parity for min bucket config fields",2,0x0000000200000004,no,medium (MMU),0x0a300000
MIRROR_SELECT,IPIPE,"Mirror select register, FeatureSpecific-Ethernet.",MTP_TYPE         Controls for each MTP container indicating it is configured as ingress (set to 0) or egress mirrored (set to 1).,1,0x00000000,no,unknown,0x0f180659
MISCCONFIG,MMU,Controls various functions in the MMU,"METERING_CLK_EN  SW overlay: Clock refresh enable; REFRESH_EN       Refresh Clock enableREFRESH_EN is control three different refresh clock.1. min/max shaper, egress port shaper refresh clock in every 7.8125us,2. cpu packet shaper refresh clock in every 1ms, 3. Wred average queue size counter refresh clock in every 4us.Since the refresh clock is constantly runing, if wants to perform registerread/write test or memory read/write to anove three features related registersand memories, this refresh_en needed to turn off to prevent written contentsbeen overwritten by internal refresh process.0: disable refresh tick, for register/memory read/write tests,1: enable refresh tick for normal operation.; SLAM_MEM         Stop memory initialization; PARITY_CHK_EN    Enable hardare to check correctness of ecc/parity bits.When doing  register/memory read/write tests it is strongly recommended to set this paritycheck enable bit to 0. This will prevent hardware automatically generatingunnecessary parity error interrupt and status when is intented byregisters/memories read/write tests.; PARITY_GEN_EN    Enable hardare to generate ecc/parity bits.When doing register/memory read/write tests, it is strongly recommended to set this parity genrate enable bit to 0. This will prevent hardware automatically overwritting the ECC andparity field in registers/memories contents and failing the tests.; PARITY_STAT_CLEAR Clear parity status registers; RESERVED; ITU_MODE_SEL     Select will use ITU Weight formula to config min/max and egress metering bucket size",1,0x0000000d,no,medium (MMU),0x0c380000
MMU_QCN_CPQ_SEQ,MMU,Memory address = dest_port_num,"CPW               Weight the rate of change of queue size relative to the instantaneous queue size . 3'b000 -- 1/4; 3'b001 -- 1/2; 3'b010 -- 1; 3'b011 -- 2; 3'b100 -- 4; 3'b101 -- 8; 3'b110 -- 16; 3'b111 -- 32;; CPQEQ            Expected queue Length.; COS0_ENABLE; CPQ_EN0          COS0 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX0 two CPQ per port; COS1_ENABLE; CPQ_EN1          COS1 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX1 two CPQ per port; COS2_ENABLE; CPQ_EN2          COS2 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX2 two CPQ per port; COS3_ENABLE; CPQ_EN3          COS3 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX3 two CPQ per port; COS4_ENABLE; CPQ_EN4          COS4 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX4 two CPQ per port; COS5_ENABLE; CPQ_EN5          COS5 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX5 two CPQ per port; COS6_ENABLE; CPQ_EN6          COS6 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX6 two CPQ per port; COS7_ENABLE; CPQ_EN7          COS7 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX7 two CPQ per port; COS8_ENABLE; CPQ_EN8          COS8 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX8 two CPQ per port; COS9_ENABLE; CPQ_EN9          COS9 qcn enable. 0-disable QCN function, 1- enable QCN; CPQ_PROFILE_INDEX9 two CPQ per port",8,0x00000000,no,medium (MMU),0x1e380010
MMU_TO_LOGIC_PORT_MAPPING,,?,,65,0x00000009,no,unknown,
MMU_TO_PHY_PORT_MAPPING,,?,,65,0x00000005,no,unknown,
MODPORT_MAP_MIRROR_PARITY_CONTROL,IPIPE,"Parity Control for MODPORT_MAP_MIRROR table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the MODPORT_MAP_MIRROR table.,1,0x00000001,no,low (parity init),0x0f180d2b
MODPORT_MAP_SW_PARITY_CONTROL,IPIPE,"Parity Control for MODPORT_MAP_SW table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the MODPORT_MAP_SW table.,1,0x00000001,no,low (parity init),0x0f180d22
MOD_MAP_PARITY_CONTROL,IPIPE,MOD_MAP_PARITY_CONTROL,PARITY_EN        This bit enables parity checking for the ING_MOD_MAP table.,1,0x00000001,no,low (parity init),0x02180d0f
MPLS_ENTRY_HASH_CONTROL,IPIPE,"MPLS_ENTRY_HASH_CONTROL, FeatureSpecific-MPLS.",HASH_SELECT_A    Selects hashing algorithm used for index A.; HASH_SELECT_B    Selects hashing algorithm used for index B.; INSERT_LEAST_FULL_HALF Insert entry into the least full half of the hash location if 1.,1,0x0000004a,no,medium (QoS / hash),0x04180640
MPLS_ENTRY_PARITY_CONTROL,IPIPE,"MPLS_ENTRY_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the MPLS_ENTRY table.,1,0x00000001,no,low (parity init),0x04180d24
