register,block,description,fields,scope_count,sample_value,ported_by_us,importance_guess,address
DDP_C3_PORT_AC_DATA,MMU,DDP Debug Logic Reg,D0               data; RESV             reserved data,1,0x00000ec3,no,medium (MMU),0x0e38011b
DDP_C3_PORT_BD_DATA,MMU,DDP Debug Logic Reg,D0               data; RESV             reserved data,1,0x00000bf7,no,medium (MMU),0x0e38011f
DLB_HGT_CURRENT_TIME,IPIPE,DLB_HGT Current Time.,CURRENT_TIME     The current time. The step size is 1us.,1,0x000879e5,no,unknown,0x11180607
DLB_HGT_FLOWSET_PORT_PARITY_CONTROL,IPIPE,"Parity Controls for DLB_HGT_FLOWSET_PORT, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the DLB_HGT_FLOWSET_PORT table.,1,0x00000001,no,low (parity init),0x11180d00
DLB_HGT_FLOWSET_TIMESTAMP_PAGE_PARITY_CONTROL,IPIPE,"Parity Controls for DLB_HGT_FLOWSET_TIMESTAMP_PAGE, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the DLB_HGT_FLOWSET_TIMESTAMP_PAGE table.,1,0x00000001,no,low (parity init),0x11180d06
DLB_HGT_FLOWSET_TIMESTAMP_PARITY_CONTROL,IPIPE,"Parity Controls for DLB_HGT_FLOWSET_TIMESTAMP, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the DLB_HGT_FLOWSET_TIMESTAMP table.,1,0x00000001,no,low (parity init),0x11180d03
DLB_HGT_QUALITY_MEASURE_CONTROL,IPIPE,DLB_HGT Quality Measure Update Control Register.,"SAMPLING_PERIOD  Amount of time to wait between average calculation rounds for Port Loading and Port Queue Size metrics. Step size is 256ns Minimum value is 2 (which means 512ns).; PORT_LOADING_WEIGHT Weight (N-parameter) used to compute Exponentially-Weighted Moving Average calculation for Port Loading measures.; PORT_QSIZE_WEIGHT Weight (N-parameter) used to compute Exponentially-Weighted Moving Average calculation for Port Queue Size measures.; CAP_LOADING_AVERAGE If set, and the Current Port Loading is less than the Average Port Loading, hardware will set the new Average Port Loading to be equal to the Current Port Loading (instead of recomputing the Exponentially-Weighted Moving Average).; CAP_QSIZE_AVERAGE If set, and the Current Port Queue Size is less than the Average Port Queue Size, hardware will set the new Average Port Queue Size to be equal to the Current Port Queue Size (instead of recomputing the Exponentially-Weighted Moving Average).",1,0x00000003,no,unknown,0x11180200
DSCP_TABLE_PARITY_CONTROL,IPIPE,"DSCP_TABLE_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the DSCP_TABLE_table.,1,0x00000001,no,low (parity init),0x0c180d11
E2ECC_TX_ENABLE_BMP,MMU,e2ecc tx enable for each port of each XLPORT,TX_ENABLE_BMP    E2ECC TX enable for each port in a XLPORT,16,0x00000000,no,medium (MMU),0x16380420
E2E_HOL_STATUS_1_PARITY_CONTROL,IPIPE,"Parity Control for E2E_HOL_STATUS_1 table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the E2E_HOL_STATUS_1 table.,1,0x00000001,no,low (statistics),0x0f180d43
E2E_HOL_STATUS_PARITY_CONTROL,IPIPE,"Parity Control for E2E_HOL_STATUS table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the E2E_HOL_STATUS table.,1,0x00000001,no,low (statistics),0x0f180d40
