# Block-id-related strings

  @ 113c8b68  ""CMICM_BSPI_MAST_N_BOOT""
  @ 113c8b80  ""CMICM_BSPI_BUSY_STATUS""
  @ 113c8b98  ""CMICM_BSPI_INTR_STATUS""
  @ 113c8bb0  ""CMICM_BSPI_B0_STATUS""
  @ 113c8bc8  ""CMICM_BSPI_B0_CNTRL""
  @ 113c8bdc  ""CMICM_BSPI_B1_STATUS""
  @ 113c8bf4  ""CMICM_BSPI_B1_CNTRL""
  @ 113c8c08  ""CMIC_GP_DATA_IN""
  @ 113c8c18  ""CMIC_GP_DATA_OUT""
  @ 113c8c2c  ""CMIC_GP_OUT_EN""
  @ 113c8c3c  ""CMIC_GP_INT_TYPE""
  @ 113c8c50  ""CMIC_GP_INT_DE""
  @ 113c8c60  ""CMIC_GP_INT_EDGE""
  @ 113c8c74  ""CMIC_GP_INT_MSK""
  @ 113c8c84  ""CMIC_GP_INT_STAT""
  @ 113c8c98  ""CMIC_GP_INT_MSTAT""
  @ 113c8cac  ""CMIC_GP_INT_CLR""
  @ 113c8cbc  ""CMIC_GP_AUX_SEL""
  @ 113c8ccc  ""CMIC_GP_INIT_VAL""
  @ 113c8ce0  ""CMIC_GP_PAD_RES""
  @ 113c8cf0  ""CMIC_GP_RES_EN""
  @ 113c8d00  ""CMIC_GP_TEST_INPUT""
  @ 113c8d14  ""CMIC_GP_TEST_OUTPUT""
  @ 113c8d28  ""CMIC_GP_TEST_ENABLE""
  @ 113c8d3c  ""CMIC_GP_PRB_ENABLE""
  @ 113c8d50  ""CMIC_GP_PRB_OE""
  @ 113c8d60  ""CMIC_UART0_RBR_THR_DLL""
  @ 113c8d78  ""CMIC_UART0_DLH_IER""
  @ 113c8d8c  ""CMIC_UART0_IIR_FCR""
  @ 113c8da0  ""CMIC_UART0_LCR""
  @ 113c8db0  ""CMIC_UART0_MCR""
  @ 113c8dc0  ""CMIC_UART0_LSR""
  @ 113c8dd0  ""CMIC_UART0_MSR""
  @ 113c8de0  ""CMIC_UART0_SCR""
  @ 113c8df0  ""CMIC_UART0_LPDLL""
  @ 113c8e04  ""CMIC_UART0_LPDLH""
  @ 113c8e18  ""CMIC_UART0_SRBR_STHR""
  @ 113c8e30  ""CMIC_UART0_FAR""
  @ 113c8e40  ""CMIC_UART0_TFR""
  @ 113c8e50  ""CMIC_UART0_RFW""
  @ 113c8e60  ""CMIC_UART0_USR""
  @ 113c8e70  ""CMIC_UART0_TFL""
  @ 113c8e80  ""CMIC_UART0_RFL""
  @ 113c8e90  ""CMIC_UART0_SRR""
  @ 113c8ea0  ""CMIC_UART0_SRTS""
  @ 113c8eb0  ""CMIC_UART0_SBCR""
  @ 113c8ec0  ""CMIC_UART0_SDMAM""
  @ 113c8ed4  ""CMIC_UART0_SFE""
  @ 113c8ee4  ""CMIC_UART0_SRT""
  @ 113c8ef4  ""CMIC_UART0_STET""
  @ 113c8f04  ""CMIC_UART0_HTX""
  @ 113c8f14  ""CMIC_UART0_DMASA""
  @ 113c8f28  ""CMIC_UART0_CPR""
  @ 113c8f38  ""CMIC_UART0_UCV""
  @ 113c8f48  ""CMIC_UART0_CTR""
  @ 113c8f58  ""CMIC_UART1_RBR_THR_DLL""
  @ 113c8f70  ""CMIC_UART1_DLH_IER""
  @ 113c8f84  ""CMIC_UART1_IIR_FCR""
  @ 113c8f98  ""CMIC_UART1_LCR""
  @ 113c8fa8  ""CMIC_UART1_MCR""
  @ 113c8fb8  ""CMIC_UART1_LSR""
  @ 113c8fc8  ""CMIC_UART1_MSR""
  @ 113c8fd8  ""CMIC_UART1_SCR""
  @ 113c8fe8  ""CMIC_UART1_LPDLL""
  @ 113c8ffc  ""CMIC_UART1_LPDLH""
  @ 113c9010  ""CMIC_UART1_SRBR_STHR""
  @ 113c9028  ""CMIC_UART1_FAR""
  @ 113c9038  ""CMIC_UART1_TFR""
  @ 113c9048  ""CMIC_UART1_RFW""
  @ 113c9058  ""CMIC_UART1_USR""
  @ 113c9068  ""CMIC_UART1_TFL""
  @ 113c9078  ""CMIC_UART1_RFL""
  @ 113c9088  ""CMIC_UART1_SRR""
  @ 113c9098  ""CMIC_UART1_SRTS""
  @ 113c90a8  ""CMIC_UART1_SBCR""
  @ 113c90b8  ""CMIC_UART1_SDMAM""
  @ 113c90cc  ""CMIC_UART1_SFE""
  @ 113c90dc  ""CMIC_UART1_SRT""
  @ 113c90ec  ""CMIC_UART1_STET""
  @ 113c90fc  ""CMIC_UART1_HTX""
  @ 113c910c  ""CMIC_UART1_DMASA""
  @ 113c9120  ""CMIC_UART1_CPR""
  @ 113c9130  ""CMIC_UART1_UCV""
  @ 113c9140  ""CMIC_UART1_CTR""
  @ 113c9150  ""CMIC_COMMON_SCHAN_CTRL""
  @ 113c9168  ""CMIC_COMMON_SCHAN_ACK_DATA_BEAT_COUNT""
  @ 113c9190  ""CMIC_COMMON_SCHAN_ERR""
  @ 113c91a8  ""CMIC_COMMON_SCHAN_MESSAGE0""
  @ 113c91c4  ""CMIC_COMMON_SCHAN_MESSAGE""
  @ 113c91e0  ""CMIC_COMMON_SCHAN_MESSAGE1""
  @ 113c91fc  ""CMIC_COMMON_SCHAN_MESSAGE2""
  @ 113c9218  ""CMIC_COMMON_SCHAN_MESSAGE3""
  @ 113c9234  ""CMIC_COMMON_SCHAN_MESSAGE4""
  @ 113c9250  ""CMIC_COMMON_SCHAN_MESSAGE5""
  @ 113c926c  ""CMIC_COMMON_SCHAN_MESSAGE6""
  @ 113c9288  ""CMIC_COMMON_SCHAN_MESSAGE7""
  @ 113c92a4  ""CMIC_COMMON_SCHAN_MESSAGE8""
  @ 113c92c0  ""CMIC_COMMON_SCHAN_MESSAGE9""
  @ 113c92dc  ""CMIC_COMMON_SCHAN_MESSAGE10""
  @ 113c92f8  ""CMIC_COMMON_SCHAN_MESSAGE11""
  @ 113c9314  ""CMIC_COMMON_SCHAN_MESSAGE12""
  @ 113c9330  ""CMIC_COMMON_SCHAN_MESSAGE13""
  @ 113c934c  ""CMIC_COMMON_SCHAN_MESSAGE14""
  @ 113c9368  ""CMIC_COMMON_SCHAN_MESSAGE15""
  @ 113c9384  ""CMIC_COMMON_SCHAN_MESSAGE16""
  @ 113c93a0  ""CMIC_COMMON_SCHAN_MESSAGE17""
  @ 113c93bc  ""CMIC_COMMON_SCHAN_MESSAGE18""
  @ 113c93d8  ""CMIC_COMMON_SCHAN_MESSAGE19""
  @ 113c93f4  ""CMIC_COMMON_SCHAN_MESSAGE20""
  @ 113c9410  ""CMIC_COMMON_SCHAN_MESSAGE21""
  @ 113c942c  ""CMIC_COMMON_MIIM_PARAM""
  @ 113c9444  ""CMIC_COMMON_MIIM_READ_DATA""
  @ 113c9460  ""CMIC_COMMON_MIIM_ADDRESS""
  @ 113c947c  ""CMIC_COMMON_MIIM_CTRL""
  @ 113c9494  ""CMIC_COMMON_MIIM_STAT""
  @ 113c94ac  ""CMIC_SBUS_TIMEOUT""
