# Packet DMA / DCB / HiGig related strings

  "%sdv@%p unit %d dcbtype-%d op=%s vcnt=%d dcnt=%d cnt=% @ 113b61f4  in FUN_1078ca54
  "%sdv@%p unit %d dcbtype-%d op=%s vcnt=%d dcnt=%d cnt=% @ 113b61f4  in FUN_1078d198
  "sdma_dcb_alloc"                                        @ 113b63d8  in FUN_1078dc60
  "sdma_dcb_alloc"                                        @ 113b63d8  in FUN_1078dc60
  "sdma_dcb_alloc"                                        @ 113b63d8  in FUN_1078df9c
  "sdma_dcb_alloc"                                        @ 113b63d8  in FUN_1078df9c
  "soc_dma_dbg: irqStat: 0x%x/0x%x\n"                     @ 113b6418  in FUN_1078e85c
  "_soc_dma_done_chain: NULL callback: unit=%d chain=%p\n @ 113b659c  in FUN_1078f5a0
  "!(flags & ~(SOC_DMA_F_MBM | SOC_DMA_F_POLL | SOC_DMA_F @ 113b6690  in FUN_10790aa0
  "!(flags & ~(SOC_DMA_F_MBM | SOC_DMA_F_POLL | SOC_DMA_F @ 113b6690  in FUN_10790aa0
  "dcb_type3"                                             @ 113b8468  in ?
  "dcb_type4"                                             @ 113b8474  in ?
  "dcb_type5"                                             @ 113b8480  in ?
  "dcb_type6"                                             @ 113b848c  in ?
  "dcb_type7"                                             @ 113b8498  in ?
  "dcb_type8"                                             @ 113b84a4  in ?
  "dcb_type9"                                             @ 113b84b0  in ?
  "dcb_type10"                                            @ 113b84bc  in ?
  "dcb_type11"                                            @ 113b84c8  in ?
  "dcb_type12"                                            @ 113b84d4  in ?
  "dcb_type13"                                            @ 113b84e0  in ?
  "dcb_type14"                                            @ 113b84ec  in ?
  "dcb_type15"                                            @ 113b84f8  in ?
  "dcb_type16"                                            @ 113b8504  in ?
  "dcb_type17"                                            @ 113b8510  in ?
  "dcb_type18"                                            @ 113b851c  in ?
  "dcb_type19"                                            @ 113b8528  in ?
  "dcb_type20"                                            @ 113b8534  in ?
  "dcb_type21"                                            @ 113b8540  in ?
  "dcb_type22"                                            @ 113b854c  in ?
  "dcb_type23"                                            @ 113b8558  in ?
  "dcb_type24"                                            @ 113b8564  in ?
  "dcb_type25"                                            @ 113b8570  in ?
  "dcb_type26"                                            @ 113b857c  in ?
  "dcb_type27"                                            @ 113b8588  in ?
  "dcb_type28"                                            @ 113b8594  in ?
  "dcb_type29"                                            @ 113b85a0  in ?
  "dcb_type30"                                            @ 113b85ac  in ?
  "dcb_st0_bug"                                           @ 113b8840  in ?
  "dbgc_higig_lkup"                                       @ 113b8bf4  in ?
  "higig2"                                                @ 113b8c70  in ?
  "higig_lookup"                                          @ 113b8d44  in ?
  "rcpu_1"                                                @ 113b9134  in ?
  "rcpu_priority"                                         @ 113b927c  in ?
  "rcpu_tc_mapping"                                       @ 113b928c  in ?
  "dcb_reason_hi"                                         @ 113b92ac  in ?
  "field_udf_higig"                                       @ 113b95b4  in ?
  "field_udf_higig2"                                      @ 113b95c4  in ?
  "embedded_higig"                                        @ 113b9cc0  in ?
  "no_higig"                                              @ 113b9e1c  in ?
  "higig_misc_speed_support"                              @ 113ba2f8  in ?
  "hg_set: unit %d: Unknown higig2 field=%d val=0x%x\n"   @ 113beb30  in FUN_107b372c
  "CMIC_DMA_DESC0"                                        @ 113c5d48  in ?
  "CMIC_DMA_DESC1"                                        @ 113c5d58  in ?
  "CMIC_DMA_DESC2"                                        @ 113c5d68  in ?
  "CMIC_DMA_DESC3"                                        @ 113c5d78  in ?
  "HiGig"                                                 @ 113e16d8  in ?
  "HiGig2"                                                @ 113e16e8  in ?
  "HiGig2_L2"                                             @ 113e16f0  in ?
  "HiGig2_IP_GRE"                                         @ 113e16fc  in ?
  "HiGig"                                                 @ 113e1ff4  in ?
  "HiGig2"                                                @ 113e2004  in ?
  "HiGig2_L2"                                             @ 113e200c  in ?
  "HiGig2_IP_GRE"                                         @ 113e2018  in ?
  "HiGig2"                                                @ 113e2920  in FUN_1088f948
  "HiGig2"                                                @ 113e2920  in ?
  "HiGig2_L2"                                             @ 113e2928  in ?
  "HiGig2_IP_GRE"                                         @ 113e2934  in ?
  "HiGig"                                                 @ 113e3404  in ?
  "HiGig2"                                                @ 113e3414  in ?
  "HiGig2_L2"                                             @ 113e341c  in ?
  "HiGig2_IP_GRE"                                         @ 113e3428  in ?
  "HiGigClassSelect"                                      @ 113e61b8  in ?
  "higig_trunk_override=0x"                               @ 113e9bb0  in FUN_109a8110
  "DLB HGT member override bitmap"                        @ 113ea2b8  in FUN_109ce8c0
