# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x009a   APBZ_S0_IDM_IDM_ERROR_LOG_STATUS
0x009b   APBZ_S0_IDM_IDM_INTERRUPT_STATUS
0x009c   APBZ_S0_IDM_IDM_RESET_CONTROL
0x009d   APBZ_S0_IDM_IDM_RESET_READ_ID
0x009e   APBZ_S0_IDM_IDM_RESET_STATUS
0x009f   APBZ_S0_IDM_IDM_RESET_WRITE_ID
0x00a0   ARBITERCONFIGURATION
0x00a1   ARB_EOP_DEBUG
0x00a2   ARB_RAM_DBGCTRL
0x00a3   ARP_RARP_ENABLE
0x00a4   ASDACPREFIX
0x00a5   ASFCONFIG
0x00a6   ASFPORTSPEED
0x00a7   ASF_PORT_CFG
0x00a8   ASF_PORT_SPEED
0x00a9   ASYNCFIFOCONFIG
0x00aa   ASYNCHRONOUSMODEINTERRUPTS
0x00ab   ASYNCHRONOUSMODEINTERRUPTSMASKREGISTER
0x00ac   ATSB1_TCID_0
0x00ad   ATSB1_TCID_1
0x00ae   ATSB1_TCID_2
0x00af   ATSB1_TCID_3
0x00b0   ATSB1_TCID_4
0x00b1   ATSB1_TCID_5
0x00b2   ATSB1_TCID_6
0x00b3   ATSB1_TCID_7
0x00b4   ATSB1_TCID_8
0x00b5   ATSB1_TCID_9
0x00b6   ATSB1_TCID_10
0x00b7   ATSB1_TCID_11
0x00b8   ATSB1_TCID_12
0x00b9   ATSB1_TCID_13
0x00ba   ATSB1_TCID_14
0x00bb   ATSB1_TCID_15
0x00bc   ATSB2_TCID_0
0x00bd   ATSB2_TCID_1
0x00be   ATSB2_TCID_2
0x00bf   ATSB2_TCID_3
0x00c0   ATSB2_TCID_4
0x00c1   ATSB2_TCID_5
0x00c2   ATSB2_TCID_6
0x00c3   ATSB2_TCID_7
0x00c4   ATSB2_TCID_8
0x00c5   ATSB2_TCID_9
0x00c6   ATSB2_TCID_10
0x00c7   ATSB2_TCID_11
0x00c8   ATSB2_TCID_12
0x00c9   ATSB2_TCID_13
0x00ca   ATSB2_TCID_14
0x00cb   ATSB2_TCID_15
0x00cc   ATSC_TCID_0
0x00cd   ATSC_TCID_1
0x00ce   ATSC_TCID_2
0x00cf   ATSC_TCID_3
0x00d0   ATSC_TCID_4
0x00d1   ATSC_TCID_5
0x00d2   ATSC_TCID_6
0x00d3   ATSC_TCID_7
0x00d4   ATSC_TCID_8
0x00d5   ATSC_TCID_9
0x00d6   ATSC_TCID_10
0x00d7   ATSC_TCID_11
0x00d8   ATSC_TCID_12
0x00d9   ATSC_TCID_13
0x00da   ATSC_TCID_14
0x00db   ATSC_TCID_15
0x00dc   ATSUM1_TCID_0
0x00dd   ATSUM1_TCID_1
0x00de   ATSUM1_TCID_2
0x00df   ATSUM1_TCID_3
0x00e0   ATSUM1_TCID_4
0x00e1   ATSUM1_TCID_5
0x00e2   ATSUM1_TCID_6
0x00e3   ATSUM1_TCID_7
0x00e4   ATSUM1_TCID_8
0x00e5   ATSUM1_TCID_9
0x00e6   ATSUM1_TCID_10
0x00e7   ATSUM1_TCID_11
0x00e8   ATSUM1_TCID_12
0x00e9   ATSUM1_TCID_13
0x00ea   ATSUM1_TCID_14
0x00eb   ATSUM1_TCID_15
0x00ec   ATSUM2_TCID_0
0x00ed   ATSUM2_TCID_1
0x00ee   ATSUM2_TCID_2
0x00ef   ATSUM2_TCID_3
0x00f0   ATSUM2_TCID_4
0x00f1   ATSUM2_TCID_5
0x00f2   ATSUM2_TCID_6
0x00f3   ATSUM2_TCID_7
0x00f4   ATSUM2_TCID_8
0x00f5   ATSUM2_TCID_9
0x00f6   ATSUM2_TCID_10
0x00f7   ATSUM2_TCID_11
0x00f8   ATSUM2_TCID_12
0x00f9   ATSUM2_TCID_13
0x00fa   ATSUM2_TCID_14
0x00fb   ATSUM2_TCID_15
0x00fc   ATTEMPT_TO_ACTIVATE_A_SHAPER_WITH_BAD_PARAMETERS
0x00fd   ATTEMPT_TO_ACTIVATE_FLOW___SCHEDULER_WITH_BAD_PARAMETERS
0x00fe   AUTOCREDITMECHANISMQUEUEBOUNDARIES
0x00ff   AUTOCREDITMECHANISMRATECONFIGURATION
0x0100   AUTONEGCONFIG0
0x0101   AUTONEGCONFIG1
0x0102   AUTONEGCONFIG2
0x0103   AUTONEGCONFIG3
0x0104   AUTONEG_STATUS0
0x0105   AUTONEG_STATUS1
0x0106   AUTONEG_STATUS2
0x0107   AUTONEG_STATUS3
0x0108   AUTOVOIP_OUI_1
0x0109   AUTOVOIP_OUI_2
0x010a   AUTOVOIP_OUI_3
0x010b   AUTOVOIP_OUI_4
0x010c   AUTOVOIP_OUI_5
0x010d   AUTOVOIP_OUI_6
0x010e   AUX_ARB_CONTROL
0x010f   AUX_ARB_CONTROL_2
0x0110   AUX_L2_BULK_CONTROL
0x0111   AVAILABLEFREERESOURCES
0x0112   AXIIC_A9JTAG_M0_FN_MOD
0x0113   AXIIC_A9JTAG_M0_READ_QOS
0x0114   AXIIC_A9JTAG_M0_WRITE_QOS
0x0115   AXIIC_A9JTAG_S0_FN_MOD_BM_ISS
0x0116   AXIIC_A9JTAG_S0_SECURITY
0x0117   AXIIC_AMAC_FA_M0_AR_B
0x0118   AXIIC_AMAC_FA_M0_AR_P
0x0119   AXIIC_AMAC_FA_M0_AR_R
0x011a   AXIIC_AMAC_FA_M0_AW_B
0x011b   AXIIC_AMAC_FA_M0_AW_P
0x011c   AXIIC_AMAC_FA_M0_AW_R
0x011d   AXIIC_AMAC_FA_M0_FN_MOD
0x011e   AXIIC_AMAC_FA_M0_KI
0x011f   AXIIC_AMAC_FA_M0_MAX_COMB_OT
0x0120   AXIIC_AMAC_FA_M0_MAX_OT
0x0121   AXIIC_AMAC_FA_M0_QOS_CNTL
0x0122   AXIIC_AMAC_FA_M0_QOS_RANGE
0x0123   AXIIC_AMAC_FA_M0_READ_QOS
0x0124   AXIIC_AMAC_FA_M0_TGT_LATENCY
0x0125   AXIIC_AMAC_FA_M0_WRITE_QOS
0x0126   AXIIC_AMAC_FA_M1_AR_B
0x0127   AXIIC_AMAC_FA_M1_AR_P
0x0128   AXIIC_AMAC_FA_M1_AR_R
0x0129   AXIIC_AMAC_FA_M1_AW_B
0x012a   AXIIC_AMAC_FA_M1_AW_P
0x012b   AXIIC_AMAC_FA_M1_AW_R
0x012c   AXIIC_AMAC_FA_M1_FN_MOD
0x012d   AXIIC_AMAC_FA_M1_KI
0x012e   AXIIC_AMAC_FA_M1_MAX_COMB_OT
0x012f   AXIIC_AMAC_FA_M1_MAX_OT
0x0130   AXIIC_AMAC_FA_M1_QOS_CNTL
0x0131   AXIIC_AMAC_FA_M1_QOS_RANGE
0x0132   AXIIC_AMAC_FA_M1_READ_QOS
0x0133   AXIIC_AMAC_FA_M1_TGT_LATENCY
0x0134   AXIIC_AMAC_FA_M1_WRITE_QOS
0x0135   AXIIC_AMAC_M0_AR_B
0x0136   AXIIC_AMAC_M0_AR_P
0x0137   AXIIC_AMAC_M0_AR_R
0x0138   AXIIC_AMAC_M0_AW_B
0x0139   AXIIC_AMAC_M0_AW_P
0x013a   AXIIC_AMAC_M0_AW_R
0x013b   AXIIC_AMAC_M0_FN_MOD
0x013c   AXIIC_AMAC_M0_KI
0x013d   AXIIC_AMAC_M0_MAX_COMB_OT
