# Interesting strings from switchd
0x1132981c    "%s %s:%d ERR bcm_field_qualify_DstIp failed %s\n"
0x1132984c    "%s %s:%d ERR bcm_field_qualify_Ethertype failed %s\n"
0x11329880    "%s %s:%d ERR bcm_cosq_mapping_get failed %s: setting cos queue to 0\n"
0x113298c8    "%s %s:%d ERR bcm_field_qualify_CPUQueue failed %s\n"
0x113298fc    "%s %s:%d ERR bcm_field_qualify_SrcMac failed %s\n"
0x11329930    "%s %s:%d ERR bcm_field_qualify_DstMac failed %s\n"
0x11329964    "%s %s:%d ERR bcm_field_qualify_IpProtocol failed %s\n"
0x1132999c    "%s %s:%d ERR bcm_field_qualify_Tos failed %s\n"
0x113299cc    "%s %s:%d ERR bcm_field_qualify_Ttl failed %s\n"
0x113299fc    "%s %s:%d ERR bcm_field_qualify_DSCP failed %s\n"
0x11329a2c    "%s %s:%d ERR bcm_field_qualify_DstClassL3 failed %s\n"
0x11329a64    "%s %s:%d ERR bcm_field_qualify_L2CacheHit failed %s\n"
0x11329a9c    "%s %s:%d ERR bcm_field_qualify_ipfrag failed %s\n"
0x11329ae4    "%s %s:%d ERR bcm_policer_create failed %s\n"
0x11329b10    "%s %s:%d ERR bcm_field_entry_policer_attach failed %s\n"
0x11329ce4    "%s %s:%d ERR bcm_port_gport_get failed %s\n"
0x11329d10    "%s %s:%d ERR bcm_mirror_destination_create failed %s\n"
0x11329d84    "%s %s:%d ERR bcm_field_entry_reinstall failed %s\n"
0x11329db8    "%s %s:%d ERR bcm_field_entry_enable_get failed %s\n"
0x11329dec    "%s %s:%d ERR bcm_field_qualify_OuterVlanId_get failed %s\n"
0x11329e28    "%s %s:%d ERR bcm_field_entry_enable_set failed %s\n"
0x11329e5c    "%s %s:%d ERR hal_bcm_acl_entry_match_if_add failed %s\n"
0x1132a100    "%s %s:%d ERR bcm_field_stat_create failed %s\n"
0x1132a130    "%s %s:%d ERR bcm_field_stat_attach failed %s\n"
0x1132a160    "%s %s:%d ERR bcm_field_entry_create failed %s\n"
0x1132a230    "%s %s:%d bcm_field_group_install failed %s\n"
0x1132a2b4    "%s %s:%d ERR bcm_field_stat_get failed stat_id %d: %s\n"
0x1132a4c4    "%s %s:%d CRIT bcm_field_action_remove_all failed: %d, local_if %s\n"
0x1132a508    "%s %s:%d CRIT bcm_field_qualify_clear failed: %d, local_if %s\n"
0x1132a548    "%s %s:%d CRIT bcm_field_entry_create failed: %d local_if %s\n"
0x1132a5bc    "%s %s:%d CRIT bcm_field_qualify_SrcTrunk failed: %d, local_if %s\n"
0x1132a600    "%s %s:%d CRIT bcm_field_qualify_Inport failed: %d, local_if %s\n"
0x1132a640    "%s %s:%d CRIT bcm_field_qualify_VlanFormat failed: %d, local_if %s\n"
0x1132a684    "%s %s:%d CRIT bcm_field_action_add failed: %d, local_if %s\n"
0x1132a6c0    "%s %s:%d CRIT bcm_field_group_install failed: %d, local_if %s\n"
0x1132a700    "%s %s:%d CRIT bcm_field_entry_destroy failed: %d local_if %s\n"
0x1132a77c    "hal_bcm_acl_entry_match_add"
0x1132a860    "hal_bcm_vxlan.c"
0x1132b1d4    "%s %s:%d ERR bcm_vxlan_port_get_all failed %d\n"
0x1132b3d4    "%s %s:%d CRIT bcm_l3_egress_get failed: %s\n"
0x1132b400    "%s %s:%d CRIT bcm_l3_egress_set failed: %s\n"
0x1132b42c    "%s %s:%d ERR hal_bcm_get_trunk for bond %d failed\n"
0x1132b460    "%s %s:%d ERR bcm_port_control_set failed: %s\n"
0x1132b540    "%s %s:%d CRIT bcm_l3_egress_create failed:%s\n"
0x1132b980    "hal_bcm_vxlan_del_tunnel"
0x1132b99c    "hal_bcm_vxlan_add_or_update_tunnel"
0x1132b9c0    "hal_bcm_add_or_update_vxlan_mcast_tunnel"
0x1132b9ec    "hal_bcm_vxlan_del_mcast_tunnel_from_ln"
0x1132ba14    "hal_bcm_vxlan_add_mcast_tunnel_to_ln"
0x1132ba3c    "hal_bcm_vxlan_del_local_if"
0x1132ba70    "/var/lib/cumulus/sfptab"
0x1132bad8    "hal_bcm_sfp.c"
0x1132bed4    "hal_bcm_get_eeprom"
0x1132bee8    "hal_bcm_read_qsfp_eeprom_data_at_phyaddr"
0x1132bf14    "hal_bcm_read_sfp_eeprom_data_at_phyaddr"
0x1132bf3c    "hal_bcm_rw_eeprom_data_at_phyaddr"
0x1132bf60    "hal_bcm_read_eeprom_file"
0x1132c008    "%s %s:%d hal_bcm_stat_dev_dereg %d\n"
0x1132c02c    "hal_bcm_stat.c"
0x1132c03c    "%s %s:%d hal_bcm_stat_dev_reg %d\n"
0x1132c060    "%s %s:%d hal_bcm_dev_stat_setup %d\n"
0x1132c084    "%s %s:%d ERR bcm_switch_control_set StatPollInterval failed: %s\n"
0x1132c0c8    "%s %s:%d WARN bcm_stat_group_create failed for vlan %d; %s\n"
0x1132c104    "%s %s:%d WARN bcm_vlan_stat_attach failed for vlan %d; %s\n"
0x1132c234    "%s %s:%d WARN bcm_vlan_stat_detach failed for vlan 0x%x; %s\n"
0x1132c294    "%s %s:%d WARN bcm_stat_group_destroy failed for stat_id %d; %s\n"
0x1132c2f4    "%s %s:%d WARN bcm_stat_group_create failed for vxlan mbr 0x%x; %s\n"
0x1132c338    "%s %s:%d WARN bcm_vxlan_stat_attach failed for vxlan mbr 0x%x; %s\n"
0x1132c458    "%s %s:%d WARN bcm_vxlan_stat_detach failed for vxlan 0x%x; %s\n"
0x1132c4c0    "%s %s:%d WARN bcm_stat_group_create failed for vxlan 0x%x; %s\n"
0x1132c500    "%s %s:%d WARN bcm_vxlan_stat_attach failed for vxlan 0x%x; %s\n"
0x1132c94c    "%s %s:%d CRIT bcm_stat_init failed: %s\n"
0x1132c974    "%s %s:%d ERR bcm_custom_set failed: %s\n"
0x1132ccc4    "hal_bcm_config.c"
0x1132cd34    "%s %s:%d CRIT bcm_port_pause_set failed for hal port %d: %s\n"
0x1132ce24    "%s %s:%d ERR bcm_switch_control_set %d failed: %s\n"
0x1132cea8    "/etc/bcm.d/datapath/datapath.conf"
0x1132cf1c    "hal_bcm_config_init"
0x1132cf30    "hal_bcm_config_port_pause"
0x1132cffc    "/var/lib/cumulus/porttab"
0x1132d038    "hal_bcm_port.c"
0x1132d0e0    "%s %s:%d CRIT bcm_port_config_get failed: %s\n"
0x1132d110    "%s %s:%d CRIT bcm_port_encap_set failed: %s\n"
0x1132d14c    "%s %s:%d CRIT bcm_port_enable failed: %s\n"
0x1132d6c0    "MMU init"
0x1132d708    "bcm_linkscan_pbmp"
0x1132d780    "bcm_linkscan_interval"
0x1132df08    "PORT_GROUP"
0x1132f634    "FibreChanVFTVersion"
0x1132f6cc    "FcoeVersionIsZero"
0x1132f858    "TrillIVersion"
0x11333404    "OamUnknownVersionToCpu"
0x1133341c    "OamUnknownVersionDrop"
0x11334b8c    "TrillHeaderVersionErrDrop"
0x11334f0c    "MplsPWControlWordToCpu"
0x11334f24    "MplsPWControlTypeToCpu"
0x11334f3c    "MplsPWControlWord"
0x11334f50    "MplsPWCountPktsAll"
0x11335038    "TrunkHashMPLSPWControlWord"
0x113355d0    "MplsUnknownAchVersionToCpu"
0x113355ec    "TimesyncIngressVersion"
0x11335604    "TimesyncEgressVersion"
0x1133561c    "TimesyncUnknownVersionToCpu"
0x11335ca4    "OamVersionCheckDisable"
0x1133791c    "IpOptionVersion"
0x11337f00    "TimesyncUnknownVersion"
0x11337f24    "BfdUnknownVersion"
0x11337f38    "BfdInvalidVersion"
0x11339028    "Version"
0x11339030    "Print version and build information"
0x11339058    "Show MAX127 A/D Conversions"
0x113391d4    "MMU config"
0x11339240    ".Init MMU cell free address table"
0x11339794    "MMU HSP hierarchy"
0x113399fc    "MMU LLS hierarchy"
0x11339af4    ".Place SOC MMU in debug mode"
0x11339bc4    "Set MIIM operation timeout in usec"
0x1133a04c    "Configure RX settings"
0x1133a064    "RXInit"
0x1133a06c    "Call bcm_rx_init"
0x1133a088    "Register an RX handler to dump received packets"
0x1133a520    "TXBeacon"
0x1133a53c    "TXCount"
0x1133a544    "Print current TX statistics"
0x1133a560    "TXSTArt"
0x1133adbc    "%s: bcm_attach error : %s\n"
0x1133b53c    "snmpEtherStatsTXNoErrors"
0x1133b558    "snmpEtherStatsRXNoErrors"
0x1133cec8    "ERROR: failed to perform A/D conversions.\n"
0x1133d840    "H.W. Version %d (0x%x)\n"
0x1133d858    "S.W. Version %d (0x%x)\n"
0x1133e054    "XGS Hercules BCM5670_P8_00 Platform"
0x1133e078    "XGS Firebolt BCM56504P24_00 Platform"
0x1133e0a0    "XGS Goldwing BCM56580K16 Platform"
0x1133e0c4    "XGS Bradley BCM56800K20C Platform"
0x1133e0e8    "XGS Bradley BCM56800K20 Platform"
0x1133e10c    "XGS raptor BCM56218k48 Platform"
0x1133e12c    "XGS Raven BCM56224k24 Platform"
0x1133e1a4    "XGS Trident Platform"
0x1133e2bc    "Trident2 Platform"
0x1133e2d0    "Trident2 DVT Platform"
0x1133e2fc    "ENG Version"
0x1133ee90    "Error: failed to perform A/D conversions.\n"
0x1133fe80    "version: %s\n"
0x1133ff34    "soc_cmic_uc_msg_timestamp_get failed: %s (%d)\n"
0x113405b0    "PW RX rate set error: %s.\n"
0x113405cc    "PW RX burst set error: %s.\n"
0x1134069c    "PW stop error: Cannot stop RX: %s.\n"
0x11340734    "RX CMD"
0x113407e4    "%s: Unable to configure TX DMA channel: %s\n"
0x11340a04    "RX on for channel(s): "
0x11340a1c    "RX off for channel(s): "
0x11340adc    "%s: RX on for channel(s): "
0x11340af8    "%s: RX off for channel(s): "
0x11340f70    "IpOptionVersion"
0x11341580    "TimesyncUnknownVersion"
